captain,ship,crew_size,treasure_gold,years_active,base_location,status
Blackbeard,Queen Anne's Revenge,300,50000,4,Caribbean,Deceased
Anne Bonny,Ranger,45,12000,2,Nassau,Disappeared
Captain Kidd,Adventure Galley,150,75000,6,Madagascar,Executed
Black Bart,Royal Fortune,400,120000,4,West Africa,Deceased
Calico Jack,William,25,8000,3,Caribbean,Executed
Henry Morgan,Satisfaction,500,200000,15,Port Royal,Knighted
Mary Read,Ranger,45,12000,2,Caribbean,Disease
Long John Silver,Hispaniola,80,35000,8,Treasure Island,Retired
Red Beard Roger,Crimson Terror,220,95000,7,Tortuga,Deceased
Iron Hook Jake,Sea Demon,180,42000,5,Port Royal,Imprisoned
Storm Eye Sally,Thunder Wave,85,28000,3,Bahamas,Active
Silver Tooth Tom,Moon Ripper,160,67000,9,Madagascar,Retired
Bloody Mary,Death's Dance,95,31000,4,Caribbean,Executed
Ghost Walker Will,Phantom's Revenge,120,54000,6,Barbados,Disappeared
Mad Dog Murphy,Rabid Wolf,75,23000,2,Nassau,Disease
Eagle Eye Emma,Sky Piercer,110,39000,5,Jamaica,Active
Thunder Jack,Lightning Strike,200,88000,8,Tortuga,Deceased
Scarface Pete,Bloody Maiden,65,19000,3,Port Royal,Executed
One-Leg Ollie,Wooden Fury,55,16000,4,Caribbean,Retired